Title,Year,Rating,VoteCount
The Shawshank Redemption,1994,8.712,28911
The Godfather,1972,8.686,21855
The Godfather Part II,1974,8.57,13201
Schindler's List,1993,8.566,16721
12 Angry Men,1957,8.548,9412
Spirited Away,2001,8.536,17499
The Dark Knight,2008,8.523,34421
Dilwale Dulhania Le Jayenge,1995,8.515,4507
The Green Mile,1999,8.503,18379
Parasite,2019,8.497,19505
The Lord of the Rings: The Return of the King,2003,8.489,25469
Pulp Fiction,1994,8.486,29095
Your Name.,2016,8.479,11999
Forrest Gump,1994,8.465,28645
"The Good, the Bad and the Ugly",1966,8.464,9173
Interstellar,2014,8.461,37896
GoodFellas,1990,8.455,13638
Seven Samurai,1954,8.453,3985
Grave of the Fireflies,1988,8.45,6102
Life Is Beautiful,1997,8.44,13547
Fight Club,1999,8.438,30776
Harakiri,1962,8.434,1116
Cinema Paradiso,1988,8.4,4611
City of God,2002,8.429,7800
Impossible Things,2021,8.427,413
A Dog's Will,2000,8.424,1182
The Lord of the Rings: The Fellowship of the Ring,2001,8.424,26396
Psycho,1960,8.421,10513
One Flew Over the Cuckoo's Nest,1975,8.413,10953
The Lord of the Rings: The Two Towers,2002,8.409,22930
Gabriel's Inferno,2020,8.407,2433
Once Upon a Time in America,1984,8.406,5730
Hope,2013,8.398,800
Spider-Man: Into the Spider-Verse,2018,8.397,16456
Howl's Moving Castle,2004,8.396,10532
The Empire Strikes Back,1980,8.4,17698
A Silent Voice: The Movie,2016,8.383,4221
Lucy Shimmers and the Prince of Peace,2020,8.4,320
The Pianist,2002,8.381,9689
Whiplash,2014,8.376,15924
